Опыт   Штамм1  Штамм2  Штамм3  Штамм4  Штамм5  Время  Темп. Концентрация
   1       9       3      10      14      33     24     27    0.6
   2      16      12      26      20      31     24     27    0.8
   3      22      37      50      17      28     24     27    1.0
   4      30      45      52      29      59     24     27    1.2
   5      27      32      47      18      43     24     27    1.4
   6      97      84     129     102      72     48     27    0.6
   7     123     161     145     109     131     48     27    0.8
   8     132     153     156     129     179     48     27    1.0
   9     263     189     243     161     221     48     27    1.2
  10     145     191     178     158     195     48     27    1.4
  11      66      71      93     102      62     24     35    0.6
  12      93      76      98     110      54     24     35    0.8
  13     147      63      89     106      98     24     35    1.0
  14     199     162     149     178     176     24     35    1.2
  15     168     155     113     124     119     24     35    1.4
  16     110     123     146     136     113     48     35    0.6
  17     149     181     217     139     151     48     35    0.8
  18     189     202     269     156     147     48     35    1.0
  19     263     214     284     233     211     48     35    1.2
  20     197     233     186     213     162     48     35    1.4
  21      98      67      42      31      77     24     43    0.6
  22      82      79     108      62      81     24     43    0.8
  23     120     113      96     119     117     24     43    1.0
  24     148     127     131     132     146     24     43    1.2
  25     132     118     121     142     101     24     43    1.4
  26     123     107     118     111      76     48     43    0.6
  27     146      91      99     148     125     48     43    0.8
  28     106     189     141      97     127     48     43    1.0
  29     232     216     234     177     201     48     43    1.2
  30     163     141     172     212     184     48     43    1.4




