Tag,DataType,Size,License,Downloads
business,Other,large,CC0,3593
business,CSV,medium,Other,3904
healthcare,CSV,large,CC0,3376
food and drink,CSV,huge,Other,3347
video games,CSV,huge,CC4,3684
united states,CSV,tiny,ODbL,4893
popular culture,Other,huge,CC0,1133
popular culture,CSV,large,CC0,3440
healthcare,CSV,large,CC0,2454
healthcare,CSV,medium,Other,4430
languages,CSV,medium,CC0,2901
finance,CSV,medium,CC4,2525
finance,Other,medium,CC0,3663
healthcare,CSV,tiny,Other,4466
finance,CSV,large,CC0,3659
news agencies,Other,medium,Other,3097
popular culture,CSV,medium,Other,4172
politics,CSV,tiny,CC0,3042
healthcare,CSV,tiny,Other,3212
food and drink,CSV,tiny,ODbL,4236
languages,CSV,medium,CC0,498
languages,CSV,tiny,Other,1667
business,CSV,large,CC4,4354
languages,CSV,large,CC0,3111
crime,CSV,small,CC0,4804
healthcare,CSV,medium,Other,2887
finance,CSV,small,CC4,3817
video games,CSV,medium,CC0,2875
news agencies,CSV,medium,CC4,1281
healthcare,CSV,medium,CC0,3366
finance,CSV,large,Other,3448
finance,CSV,small,Other,3258
food and drink,CSV,tiny,ODbL,3359
healthcare,Other,large,Other,1732
healthcare,Other,huge,CC4,1912
popular culture,CSV,small,CC0,2009
politics,SQLite,small,CC4,3990
video games,CSV,tiny,CC4,2256
business,Other,large,CC4,954
languages,CSV,medium,Other,1473
food and drink,CSV,medium,CC4,1900
finance,CSV,tiny,CC0,3470
popular culture,CSV,tiny,CC0,1544
business,Other,large,Other,3335
india,CSV,tiny,CC0,1873
business,CSV,large,CC4,2357
food and drink,Other,large,CC4,1075
cities,CSV,tiny,CC0,2823
popular culture,Other,large,CC4,2701
internet,CSV,huge,Other,1534
healthcare,{}JSON,large,CC4,1518
linguistics,CSV,large,ODbL,1519
government agencies,CSV,large,CC0,1278
video games,CSV,large,Other,1104
video games,CSV,small,ODbL,1832
business,CSV,tiny,Other,4575
popular culture,CSV,small,Other,1061
business,Other,large,CC4,708
business,CSV,small,CC0,843
finance,Other,small,Other,1837
india,CSV,small,CC4,1787
healthcare,CSV,medium,Other,2146
politics,CSV,small,Other,2923
linguistics,CSV,large,ODbL,1705
healthcare,CSV,large,CC4,1195
healthcare,Other,large,Other,1110
cities,CSV,medium,Other,1794
news agencies,CSV,medium,CC0,2284
languages,CSV,tiny,Other,1399
cities,CSV,huge,ODbL,2596
food and drink,Other,medium,Other,2477
business,CSV,medium,Other,999
news agencies,CSV,small,Other,2251
languages,{}JSON,medium,CC4,884
business,CSV,large,CC0,2350
finance,Other,small,Other,605
languages,CSV,large,ODbL,621
crime,Other,medium,Other,2050
video games,Other,large,CC4,628
united states,CSV,small,CC0,1517
politics,CSV,small,Other,2711
languages,CSV,tiny,ODbL,866
popular culture,CSV,medium,CC4,1353
india,CSV,medium,CC4,1669
united states,CSV,tiny,CC0,921
united states,CSV,medium,CC0,3426
healthcare,Other,huge,CC0,707
video games,CSV,medium,Other,481
crime,CSV,tiny,CC0,943
linguistics,CSV,large,Other,956
crime,CSV,tiny,CC4,1737
languages,CSV,huge,CC4,1539
healthcare,Other,huge,Other,431
languages,Other,huge,Other,591
video games,{}JSON,small,CC0,1042
video games,Other,huge,CC0,604
languages,Other,small,Other,910
business,CSV,tiny,CC0,1709
finance,Other,small,Other,444
crime,CSV,medium,CC0,1016
linguistics,CSV,large,CC0,505
crime,Other,large,CC0,1343
business,CSV,tiny,Other,833
healthcare,Other,large,Other,1552
healthcare,CSV,small,Other,1372
food and drink,Other,large,Other,1551
united states,CSV,medium,ODbL,593
india,CSV,tiny,CC4,1308
popular culture,CSV,tiny,CC0,1156
politics,SQLite,huge,ODbL,909
news agencies,CSV,medium,CC0,650
crime,CSV,tiny,CC0,940
finance,CSV,medium,Other,999
india,CSV,medium,CC4,1940
news agencies,CSV,large,CC4,377
internet,CSV,medium,CC4,1253
cities,CSV,medium,CC0,1362
united states,CSV,tiny,ODbL,553
food and drink,CSV,medium,Other,1261
