Число коек	Суммарное годовое число дней в стационаре	Суммарные годовые койко-дни	Суммарные годовые затраты на уход за пациентами	Суммарные годовые затраты на зарплату медсестёр	Суммарные годовые затраты на инфраструктуру	Сельские
244	128	385	23521	5230	5334	нет
59	155	203	9160	2459	493	да
120	281	392	21900	6304	6115	нет
120	291	419	22354	6590	6346	нет
120	238	363	17421	5362	6225	нет
65	180	234	10531	3622	449	да
120	306	372	22147	4406	4998	да
90	214	305	14025	4173	966	да
96	155	169	8812	1955	1260	нет
120	133	188	11729	3224	6442	да
62	148	192	8896	2409	1236	нет
120	274	426	20987	2066	3360	да
116	154	321	17655	5946	4231	нет
59	120	164	7085	1925	1280	да
80	261	284	13089	4166	1123	да
120	338	375	21453	5257	5206	да
80	77	133	7790	1988	4443	да
100	204	318	18309	4156	4585	да
60	97	213	8872	1914	1675	да
110	178	280	17881	5173	5686	да
120	232	336	17004	4630	907	нет
135	316	442	23829	7489	3351	нет
59	163	191	9424	2051	1756	да
60	96	202	12474	3803	2123	нет
25	74	83	4078	2008	4531	да
221	514	776	36029	1288	2543	да
64	91	214	8782	4729	4446	да
62	146	204	8951	2367	1064	нет
108	255	366	17446	5933	2987	да
62	144	220	6164	2782	411	да
90	151	286	2853	4651	4197	нет
146	100	375	21334	6857	1198	нет
62	174	189	8082	2143	1209	да
30	54	88	3948	3025	137	да
79	213	278	11649	2905	1279	нет
44	127	158	7850	1498	1273	да
120	208	423	29035	6236	3524	нет
100	255	300	17532	3547	2561	да
49	110	177	8197	2810	3874	да
123	208	336	22555	6059	6402	да
82	114	136	8459	1995	1911	да
58	166	205	10412	2245	1122	да
110	228	323	16661	4029	3893	да
62	183	222	12406	2784	2212	да
86	62	200	11312	3720	2959	да
102	326	355	14499	3866	3006	да
135	157	471	24274	7485	1344	нет
78	154	203	9327	3672	1242	да
83	224	390	12362	3995	1484	да
60	48	213	10644	2820	1154	нет
54	119	144	7556	2088	245	да
120	217	327	20182	4432	6274	нет
