спутники	цвет	панцирь	ширина	вес
8	3	3	28.3	3050
0	4	3	22.5	1550
9	2	1	26	2300
0	4	3	24.8	2100
4	4	3	26	2600
0	3	3	23.8	2100
0	2	1	26.5	2350
0	4	2	24.7	1900
0	3	1	23.7	1950
0	4	3	25.6	2150
0	4	3	24.3	2150
0	3	3	25.8	2650
11	3	3	28.2	3050
0	5	2	21	1850
14	3	1	26	2300
8	2	1	27.1	2950
1	3	3	25.2	2000
1	3	3	29	3000
0	5	3	24.7	2200
5	3	3	27.4	2700
4	3	2	23.2	1950
3	2	2	25	2300
1	3	1	22.5	1600
2	4	3	26.7	2600
3	5	3	25.8	2000
0	5	3	26.2	1300
3	3	3	28.7	3150
5	3	1	26.8	2700
0	5	3	27.5	2600
0	3	3	24.9	2100
4	2	1	29.3	3200
0	2	3	25.8	2600
0	3	2	25.7	2000
8	3	1	25.7	2000
5	3	1	26.7	2700
0	5	3	23.7	1850
0	3	3	26.8	2650
6	3	3	27.5	3150
0	5	3	23.4	1900
6	3	3	27.9	2800
3	4	3	27.5	3100
5	2	1	26.1	2800
6	2	1	27.7	2500
5	3	1	30	3300
9	4	1	28.5	3250
4	4	3	28.9	2800
6	3	3	28.2	2600
4	3	3	25	2100
3	3	3	28.5	3000
3	3	1	30.3	3600
5	5	3	24.7	2100
5	3	3	27.7	2900
6	2	1	27.4	2700
4	3	3	22.9	1600
5	3	1	25.7	2000
15	3	3	28.3	3000
3	3	3	27.2	2700
3	4	3	26.2	2300
0	3	1	27.8	2750
0	5	3	25.5	2250
0	4	3	27.1	2550
5	4	3	24.5	2050
3	4	1	27	2450
5	3	3	26	2150
1	3	3	28	2800
8	3	3	30	3050
10	3	3	29	3200
0	3	3	26.2	2400
0	3	1	26.5	1300
3	3	3	26.2	2400
7	4	3	25.6	2800
1	4	3	23	1650
0	4	3	23	1800
6	3	3	25.4	2250
0	4	3	24.2	1900
0	3	2	22.9	1600
3	4	2	26	2200
4	3	3	25.4	2250
0	4	3	25.7	1200
5	3	3	25.1	2100
0	4	2	24.5	2250
0	5	3	27.5	2900
0	4	3	23.1	1650
4	4	1	25.9	2550
0	3	3	25.8	2300
3	5	3	27	2250
0	3	3	28.5	3050
0	5	1	25.5	2750
0	5	3	23.5	1900
0	3	2	24	1700
5	3	1	29.7	3850
0	3	1	26.8	2550
0	5	3	26.7	2450
0	3	1	28.7	3200
0	4	3	23.1	1550
1	3	1	29	2800
0	4	3	25.5	2250
1	4	3	26.5	1967
1	4	3	24.5	2200
1	4	3	28.5	3000
1	3	3	28.2	2867
1	3	3	24.5	1600
1	3	3	27.5	2550
4	3	2	24.7	2550
1	3	1	25.2	2000
1	4	3	27.3	2900
1	3	3	26.3	2400
1	3	3	29	3100
2	3	3	25.3	1900
4	3	3	26.5	2300
3	3	3	27.8	3250
6	3	3	27	2500
0	4	3	25.7	2100
2	3	3	25	2100
2	3	3	31.9	3325
0	5	3	23.7	1800
12	5	3	29.3	3225
0	4	3	22	1400
5	3	3	25	2400
6	4	3	27	2500
6	4	3	23.8	1800
2	2	1	30.2	3275
0	4	3	26.2	2225
2	3	3	24.2	1650
3	3	3	27.4	2900
0	3	2	25.4	2300
3	4	3	28.4	3200
4	5	3	22.5	1475
2	3	3	26.2	2025
6	3	1	24.9	2300
6	2	2	24.5	1950
0	3	3	25.1	1800
4	3	1	28	2900
10	5	3	25.8	2250
7	3	3	27.9	3050
0	3	3	24.9	2200
5	3	1	28.4	3100
5	4	3	27.2	2400
6	3	2	25	2250
6	3	3	27.5	2625
7	3	1	33.5	5200
3	3	3	30.5	3325
3	4	3	29	2925
0	3	1	24.3	2000
0	3	3	25.8	2400
8	5	3	25	2100
4	3	1	31.7	3725
4	3	3	29.5	3025
10	4	3	24	1900
9	3	3	30	3000
4	3	3	27.6	2850
0	3	3	26.2	2300
0	3	1	23.1	2000
0	3	1	22.9	1600
0	5	3	24.5	1900
4	3	3	24.7	1950
0	3	3	28.3	3200
2	3	3	23.9	1850
0	4	3	23.8	1800
4	4	2	29.8	3500
4	3	3	26.5	2350
3	3	3	26	2275
8	3	3	28.2	3050
0	5	3	25.7	2150
7	3	3	26.5	2750
0	3	3	25.8	2200
0	4	3	24.1	1800
2	4	3	26.2	2175
3	4	3	26.1	2750
4	4	3	29	3275
0	2	1	28	2625
0	5	3	27	2625
0	3	2	24.5	2000
