specimen	pcb138	pcb153	pcb180	pcb28	pcb52	pcb126	pcb118	pcb	teq	teqpcb	teqdioxin	teqfuran
1	1.46	1.59	0.738	0.421	0.532	0.0000	0.720	19.9959	0.93840	0.18892	0.60948	0.1400
2	0.64	0.92	0.664	0.025	0.030	0.0000	0.236	6.0996	0.96881	0.06837	0.90044	0.0000
3	3.29	3.90	1.150	0.076	0.134	0.0000	1.540	24.9655	0.97992	0.32992	0.62000	0.0300
4	3.94	5.44	1.330	0.152	0.466	0.0055	1.940	37.4436	0.99850	0.92350	0.00500	0.0700
5	3.18	3.65	2.140	0.116	0.243	0.0059	1.470	30.1830	1.01654	0.92654	0.00000	0.0900
6	2.43	2.79	1.300	0.073	0.137	0.0058	1.310	20.8036	1.02794	0.90294	0.05000	0.0750
7	3.94	4.84	3.490	0.058	0.208	0.0073	0.876	41.3818	1.04571	1.00571	0.03000	0.0100
8	3.38	3.41	1.040	0.189	0.477	0.0052	2.460	29.4780	1.06337	1.04837	0.00500	0.0100
9	2.21	2.39	0.966	0.275	0.457	0.0000	1.140	24.2387	1.11068	0.28615	0.64353	0.1810
10	2.49	3.51	1.590	0.221	0.298	0.0000	1.180	26.3198	1.13301	0.27224	0.65997	0.2008
11	0.86	0.87	0.395	0.091	0.020	0.0000	0.406	8.5910	1.16909	0.10819	0.94460	0.1163
12	3.38	3.84	1.850	1.510	0.539	0.0000	1.500	36.4229	1.16942	0.36523	0.68119	0.1230
13	7.39	9.18	4.420	0.154	0.707	0.0000	3.550	66.4108	1.18253	0.88631	0.19122	0.1050
14	2.74	3.03	0.595	0.392	0.893	0.0000	1.980	30.5757	1.21249	0.35924	0.59325	0.2600
15	2.58	3.30	1.780	0.097	0.112	0.0062	1.520	25.4771	1.23549	0.96849	0.17400	0.0930
16	7.28	6.60	3.490	0.262	1.440	0.0000	4.000	68.5567	1.23559	0.96859	0.20500	0.0620
17	2.29	4.21	2.100	0.111	0.124	0.0000	0.981	23.1381	1.26356	0.26471	0.86635	0.1325
18	5.35	7.25	5.370	0.156	0.154	0.0079	0.737	43.0451	1.35751	1.04451	0.21400	0.0990
19	4.62	5.55	2.690	0.120	0.319	0.0072	1.490	39.5300	1.36336	1.09586	0.15700	0.1105
20	3.54	3.57	1.140	0.315	0.536	0.0072	1.890	36.5013	1.37083	1.13123	0.09900	0.1406
21	1.98	2.08	1.040	0.845	0.718	0.0000	0.889	26.5255	1.38104	0.20506	1.02578	0.1502
22	2.01	2.55	1.040	0.172	0.173	0.0000	1.500	22.1370	1.38902	0.30549	1.02103	0.0625
23	2.22	2.62	0.897	0.091	0.228	0.0054	1.070	19.1992	1.47651	0.78992	0.48569	0.2009
24	3.50	3.61	2.330	0.371	0.456	0.0066	1.520	32.9518	1.48975	1.06958	0.35517	0.0650
25	0.86	0.86	0.474	0.058	0.152	0.0000	0.393	9.0893	1.51692	0.09970	1.24922	0.1680
26	4.92	6.09	3.650	0.159	0.181	0.0090	1.790	42.0037	1.56344	1.39494	0.07600	0.0925
27	2.76	2.89	0.868	2.460	1.780	0.0000	2.140	48.7727	1.66115	0.44493	0.94849	0.2677
28	5.18	7.08	3.610	0.184	0.843	0.0071	2.390	55.8940	1.66381	1.21581	0.33500	0.1130
29	2.60	2.37	1.240	0.431	0.482	0.0083	1.600	31.8021	1.70648	1.20843	0.22005	0.2780
30	4.95	7.15	2.740	0.294	1.290	0.0071	2.350	60.1485	1.74258	1.22208	0.22200	0.2985
31	10.80	12.20	8.820	0.180	0.067	0.0074	3.550	97.2793	1.79090	1.60686	0.05604	0.1280
32	2.02	1.82	1.390	0.304	0.311	0.0075	1.310	18.3945	1.90679	1.04561	0.70768	0.1535
33	3.24	1.79	2.600	0.085	0.117	0.0069	1.740	27.5003	1.93328	1.15728	0.45500	0.3210
34	8.22	12.00	7.070	0.115	0.531	0.0066	2.560	79.0347	1.93833	1.28179	0.44154	0.2150
35	9.50	11.10	9.470	0.240	0.752	0.0060	2.420	97.8119	2.06698	1.26330	0.50768	0.2960
36	4.88	9.78	2.690	0.215	0.304	0.0080	2.600	44.8870	2.17268	1.30172	0.73346	0.1375
37	5.75	6.95	3.100	0.197	0.595	0.0156	1.850	58.2125	2.25169	2.04169	0.13000	0.0800
38	5.48	7.22	5.460	0.317	0.352	0.0082	1.540	57.4186	2.34960	1.24755	0.93535	0.1667
39	8.08	9.41	3.370	0.006	0.065	0.0112	3.580	57.4938	2.39140	1.94040	0.40100	0.0500
40	3.29	3.53	2.370	0.375	0.340	0.0069	1.350	33.5817	2.39621	1.04805	1.17516	0.1730
41	3.73	3.71	1.020	6.930	5.860	0.0074	3.890	115.7361	2.56248	1.55891	0.74655	0.2570
42	1.36	1.21	0.624	0.121	0.269	0.0000	0.508	14.8479	2.70326	0.13567	2.15359	0.4140
43	9.92	10.60	2.810	0.532	1.260	0.0136	4.770	91.6305	2.77235	2.39235	0.20000	0.1800
44	8.65	10.80	6.210	0.409	0.428	0.0152	3.680	92.1625	3.06526	2.40526	0.32800	0.3320
45	4.56	4.13	1.150	0.062	0.307	0.0069	2.710	37.0122	3.07261	1.32540	1.51721	0.2300
46	8.78	11.10	4.690	0.207	0.892	0.0097	3.850	87.6535	3.08839	1.89762	1.00107	0.1897
47	13.10	13.70	7.630	0.432	0.981	0.0128	4.810	111.3631	3.09832	2.47533	0.40245	0.2205
48	5.99	5.91	3.060	0.126	0.062	0.0155	2.640	47.9596	3.16025	2.21225	0.57200	0.3760
49	3.91	1.46	2.480	0.302	0.170	0.0125	3.180	38.0747	3.26624	2.04524	0.95900	0.2620
50	6.51	6.39	1.470	2.240	7.750	0.0087	5.450	122.7960	3.44900	1.88312	1.11288	0.4530
51	11.30	21.40	4.100	0.520	1.620	0.0147	6.290	113.1166	3.55480	2.53503	0.77977	0.2400
52	8.12	9.87	3.990	0.221	0.867	0.0118	3.490	79.2042	3.73025	2.01954	1.42871	0.2820
53	11.50	12.90	9.330	0.299	0.707	0.0121	3.360	98.3269	3.80527	2.02978	1.47649	0.2990
54	3.99	3.57	2.100	0.092	0.328	0.0116	1.410	33.0017	3.85135	1.59635	1.35000	0.9050
55	7.88	3.46	2.290	0.371	0.667	0.0216	5.650	64.2417	4.06585	3.38970	0.31915	0.3570
56	13.00	13.00	5.040	0.934	2.130	0.0195	6.900	119.3755	4.13954	3.68123	0.17129	0.2870
57	9.05	3.36	5.080	0.487	0.497	0.0196	3.900	80.6768	4.34560	2.94160	1.00500	0.3990
58	21.00	31.20	19.000	0.283	0.645	0.0281	3.660	171.4136	4.55013	3.99643	0.23400	0.3197
59	12.20	23.90	17.600	0.305	0.188	0.0214	4.090	132.8670	4.86773	3.22129	1.46144	0.1850
60	8.63	9.02	3.110	0.596	1.780	0.0181	6.090	91.7974	5.03236	3.10707	1.38026	0.5450
61	4.39	4.21	1.110	0.128	0.232	0.0190	3.350	32.6213	5.10443	2.68943	1.91400	0.5010
62	5.95	6.68	3.630	0.676	0.953	0.0101	2.910	59.5369	5.17605	1.71319	3.24836	0.2145
63	19.70	18.80	10.600	2.070	4.030	0.0208	8.590	200.5094	5.63355	4.13923	1.19230	0.3020
64	7.60	2.82	3.730	0.596	0.351	0.0254	5.000	65.3966	5.66153	3.81053	0.72500	1.1260
65	18.10	32.50	9.870	0.576	2.750	0.0263	8.190	198.5225	5.81782	4.33239	1.05843	0.4270
66	13.10	7.72	4.490	0.243	0.538	0.0317	6.860	89.3715	5.94828	4.88513	0.64115	0.4220
67	25.20	35.20	13.000	1.980	1.420	0.0256	13.000	210.3284	6.26579	5.41694	0.71885	0.1300
68	12.30	25.90	3.750	1.760	9.060	0.0166	18.900	246.6618	6.29944	4.57774	0.76470	0.9570
69	32.30	43.50	31.500	0.915	1.800	0.0281	8.490	318.7461	6.49311	5.10758	1.18553	0.2000
